year,state_full,income,state
2015,Alabama,44509,AL
2014,Alabama,42278,AL
2013,Alabama,47320,AL
2012,Alabama,43464,AL
2011,Alabama,42590,AL
2010,Alabama,40933,AL
2009,Alabama,39980,AL
2008,Alabama,44476,AL
2007,Alabama,42212,AL
2006,Alabama,37952,AL
2005,Alabama,37150,AL
2004,Alabama,36629,AL
2003,Alabama,37255,AL
2002,Alabama,37603,AL
2001,Alabama,35160,AL
2000,Alabama,35424,AL
1999,Alabama,36251,AL
1998,Alabama,36266,AL
1997,Alabama,31939,AL
1996,Alabama,30302,AL
1995,Alabama,25991,AL
1994,Alabama,27196,AL
1993,Alabama,25082,AL
1992,Alabama,25808,AL
1991,Alabama,24346,AL
1990,Alabama,23357,AL
1989,Alabama,21284,AL
1988,Alabama,19948,AL
1987,Alabama,19734,AL
1986,Alabama,19132,AL
1985,Alabama,18333,AL
1984,Alabama,17310,AL
2015,Alaska,75112,AK
2014,Alaska,67629,AK
2013,Alaska,72472,AK
2012,Alaska,63648,AK
2011,Alaska,57431,AK
2010,Alaska,57848,AK
2009,Alaska,61604,AK
2008,Alaska,63989,AK
2007,Alaska,62993,AK
2006,Alaska,56418,AK
2005,Alaska,55891,AK
2004,Alaska,55063,AK
2003,Alaska,51837,AK
2002,Alaska,52774,AK
2001,Alaska,57363,AK
2000,Alaska,52847,AK
1999,Alaska,51396,AK
1998,Alaska,50692,AK
1997,Alaska,47994,AK
1996,Alaska,52779,AK
1995,Alaska,47954,AK
1994,Alaska,45367,AK
1993,Alaska,42931,AK
1992,Alaska,41802,AK
1991,Alaska,40612,AK
1990,Alaska,39298,AK
1989,Alaska,36006,AK
1988,Alaska,33103,AK
1987,Alaska,33233,AK
1986,Alaska,31356,AK
1985,Alaska,34782,AK
1984,Alaska,32356,AK
2015,Arizona,52248,AZ
2014,Arizona,49254,AZ
2013,Arizona,52611,AZ
2012,Arizona,47044,AZ
2011,Arizona,48621,AZ
2010,Arizona,46896,AZ
2009,Arizona,45739,AZ
2008,Arizona,46914,AZ
2007,Arizona,47215,AZ
2006,Arizona,46657,AZ
2005,Arizona,45245,AZ
2004,Arizona,43846,AZ
2003,Arizona,41166,AZ
2002,Arizona,39734,AZ
2001,Arizona,42704,AZ
2000,Arizona,39783,AZ
1999,Arizona,36995,AZ
1998,Arizona,37090,AZ
1997,Arizona,32740,AZ
1996,Arizona,31637,AZ
1995,Arizona,30863,AZ
1994,Arizona,31293,AZ
1993,Arizona,30510,AZ
1992,Arizona,29358,AZ
1991,Arizona,30737,AZ
1990,Arizona,29224,AZ
1989,Arizona,28552,AZ
1988,Arizona,26435,AZ
1987,Arizona,26749,AZ
1986,Arizona,25500,AZ
1985,Arizona,23877,AZ
1984,Arizona,21425,AZ
2015,Arkansas,42798,AR
2014,Arkansas,44922,AR
2013,Arkansas,39376,AR
2012,Arkansas,39018,AR
2011,Arkansas,41302,AR
2010,Arkansas,38587,AR
2009,Arkansas,36538,AR
2008,Arkansas,39586,AR
2007,Arkansas,40795,AR
2006,Arkansas,37057,AR
2005,Arkansas,36658,AR
2004,Arkansas,34984,AR
2003,Arkansas,32002,AR
2002,Arkansas,32387,AR
2001,Arkansas,33339,AR
2000,Arkansas,29697,AR
1999,Arkansas,29682,AR
1998,Arkansas,27665,AR
1997,Arkansas,26162,AR
1996,Arkansas,27123,AR
1995,Arkansas,25814,AR
1994,Arkansas,25565,AR
1993,Arkansas,23039,AR
1992,Arkansas,23882,AR
1991,Arkansas,23435,AR
1990,Arkansas,22786,AR
1989,Arkansas,21433,AR
1988,Arkansas,20172,AR
1987,Arkansas,18827,AR
1986,Arkansas,18730,AR
1985,Arkansas,17451,AR
1984,Arkansas,15674,AR
2015,California,63636,CA
2014,California,60487,CA
2013,California,60794,CA
2012,California,57020,CA
2011,California,53367,CA
2010,California,54283,CA
2009,California,56134,CA
2008,California,57014,CA
2007,California,55734,CA
2006,California,55319,CA
2005,California,51755,CA
2004,California,49222,CA
2003,California,49300,CA
2002,California,47437,CA
2001,California,47262,CA
2000,California,46816,CA
1999,California,43629,CA
1998,California,40934,CA
1997,California,39694,CA
1996,California,38812,CA
1995,California,37009,CA
1994,California,35331,CA
1993,California,34073,CA
1992,California,34903,CA
1991,California,33664,CA
1990,California,33290,CA
1989,California,33009,CA
1988,California,30287,CA
1987,California,30146,CA
1986,California,29010,CA
1985,California,26981,CA
1984,California,25287,CA
2015,Colorado,66596,CO
2014,Colorado,60940,CO
2013,Colorado,67912,CO
2012,Colorado,57255,CO
2011,Colorado,58629,CO
2010,Colorado,60233,CO
2009,Colorado,55930,CO
